propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
561c402077c8fa0c53e838d8,001, R004096,Sub:IDAHO SPRINGS Block:90 Lot:6 AND:Lot: 7  IMP 222 MINER ST,$950.45,Bids,1022.45,1023.45,,PTW
561c402077c8fa0c53e838d9,002, R005908,Sub: SAINT MARYS SUB Lot: 197 U2 31797 342246 UND 12 INT THOMAS ADAMS UND 12 INT GARY  MARJORIE MUNDEN 845785,$83.90,Bids,92.9,93.9,,PTW
561c402077c8fa0c53e838da,003, R005873,Sub: SAINT MARYS SUB Lot: 209 U2,$233.25,Bids,364.25,365.25,,PTW
561c402077c8fa0c53e838dd,011, R002455,MINE:ALLEN-17569 4.055 ACRES IDA  IND 25-3-74 64448,$204.51,Bids,226,227,,PTW
561c402077c8fa0c53e838de,012, R009181,Sub:MEADOWS GEORGETOWN THE Block:3 Lot:8 F4 340468,$872.04,Bids,968.01,969.01,,PTW
561c402077c8fa0c53e838e0,019, R005373,Sub:SAINT MARYS SUBDIVISION Lot:194 U2,$105.87,Bids,142,143,,PTW
561c402077c8fa0c53e838e1,020, R001994,MINE:GERTRUDE-15729 2.793 ACRES LFR 22-3-73  TRACT ADJ 22-3-73  RESERVING 40 ESMT BLM TR ZONED M-2 ACREAGE BLM TR 10.13A531442 STMT OF AUTHOR 750609 AGREE 764695,$361.65,Bids,405.44,406.44,,PTW
561c402077c8fa0c53e838e2,021, R001995,MINE:BIG LOBSTER-15729 2.792 ACRESLFR 22-3-73 STMT OF AUTHOR 750609,$49.09,Bids,61.55,62.55,,PTW
561c402077c8fa0c53e838e3,022, R001996,MINE:MAGGIE-15729 2.66 ACRESLFR 22-3-73 STMT OF AUTHOR 750609,$49.09,Bids,56.55,57.55,,PTW
561c402077c8fa0c53e838e6,025, R010851,Sub:PLACER VALLEY SUB Lot:59 AND Lot:60  IMP ODP #117341 424360 608 COLORADO 103,$850.10,Bids,922,923,,PTW
561c402077c8fa0c53e838e9,028, R001515,MINE:SEDGWICK-11405 4.5 ACRES YK LFR 16-3-73 SURV #177452 536490,$931.34,Bids,986,987,,PTW
561c402077c8fa0c53e838ee,035, R005350,Sub: SAINT MARYS SUB Lot:171 U2 496718,$235.07,Bids,318.07,319.07,,PTW
561c402077c8fa0c53e838f2,039, R000654,Sub:WINTERLAND Lot:54 U3 43347,$104.95,Bids,303,304,,PTW
561c402077c8fa0c53e838f5,042, R008594,Sub:HIGHLAND VILLAGE Lot:3 GREY EAGLE SURV #208417 622752,"$1,101.62",Bids,1185.24,1186.24,,PTW
561c402077c8fa0c53e838fb,048, R000985,MINE:LITTLE MARY-9046 4.03 ACRES UFR 35-2-74 471962 582298,$53.92,Bids,77.77,78.77,,PTW
561c402077c8fa0c53e838fc,049, R014816,MINE:ALFRED TOPHAM ARG 10-5-75-18495A 1.5 ACRES ARG 10-5-75 M-2 523847 526914,$44.23,Bids,51.23,52.23,,PTW
561c402077c8fa0c53e838fd,050, R003204,MINE:OGLESBY MS-15386B 1.524 ACRES MA 30-3-73 PT  IMPS 277409 29196-98 LS PT TO HWY 354379,$43.54,Bids,76,77,,PTW
561c402077c8fa0c53e838fe,051, R005739,Sub: SAINT MARYS Lot:569 U4 406595,$159.03,Bids,186.03,187.03,,PTW
561c402077c8fa0c53e838ff,052, R015446,Sub: MEADOWS GEORGETOWN THE Block:4 Lot:4 F4,$935.98,Bids,954.98,955.98,,PTW
561c402077c8fa0c53e83902,059, R006556,MINE:LULU-845 3.88 ACRES DV 23-3-74 512619,$53.92,Bids,75,76,,PTW
561c402077c8fa0c53e83903,060, R006558,MINE:AMAZON-1018 .5 DV 23-3-74 S 12 512619,$44.91,Bids,45.91,46.91,,PTW
561c402077c8fa0c53e83904,062, R003608,MINE: MT ETNA-14570 4.964 ACRES TR 33-3-73 SURV #244312 772379,$58.07,Bids,75,76,,PTW
561c402077c8fa0c53e83905,064, R013450,S:26 T:4 R:72 SW4 277185,"$5,904.40",Bids,6260.4,6261.4,,PTW
561c402077c8fa0c53e83906,065, R013522,S:27 T:4 R:72 NE4 SE4 277185,"$1,395.85",Bids,2002.89,2003.89,,PTW
561c402077c8fa0c53e83907,066, R013523,S:28 T:4 R:72 PT SE4 NE4 277185,"$3,278.23",Bids,3476.23,3477.23,,PTW
561c402077c8fa0c53e83908,067, R013624,34-4-72 NE4 SW4 APX 40A NW4SW4 APX 40A SE4SW4 APX 40A W2 SE4 APX 80A PT E2 SE4 APX 52.46A 276238  35-4-72 SW4 PT 277185 APX,"$6,481.58",Bids,6871.58,6872.58,,PTW
561c402077c8fa0c53e83909,068, R013726,Sub:EVERGREEN WEST HIGHLANDS Lot:20,"$1,625.21",Bids,1801.01,1802.01,,PTW
561c402077c8fa0c53e8390a,069, R013733,Sub:EVERGREEN WEST HIGHLANDS Lot:10-ESMT 700849,"$1,892.43",Bids,2089.49,2090.49,,PTW
561c402077c8fa0c53e8390b,070, R016980,Sub:EVERGREEN WEST F5 1FT N PT L11-15,$48.34,Bids,48.34,49.34,,PTW
561c402077c8fa0c53e8390d,072, R016498,MINE:LITTLE SUPERIOR MS-20706B 0.27 ACRESDV PT DUMONT TRACTS  IMP BLM DEED 597732 AGREE 597734 909 COUNTY ROAD 308,"$3,831.04",Bids,3832.04,3833.04,,PTW
561c402077c8fa0c53e8390e,073, R015500,Sub:DUMONT TRACTS MINE:LITTLE SUPERIOR 150FT FRONT N SIDE HWY-20706 0.656 ACRES  TRACT ADJ 30-3-73 ZONED BUFFER 338461 39822 463197 BLM DEED 596755 AGREE 596757 811 COUNTY ROAD 308,"$1,407.14",Bids,1421.14,1422.14,,PTW
561c402077c8fa0c53e8390f,074, R006103,Sub:LOCH LOMOND HIGHLANDS Lot:67 U2 312750,$210.05,Bids,263.05,264.05,,PTW
561c402077c8fa0c53e83913,078, R009538,Sub:GEORGETOWN Block:66 TR IN REAR APX 2.0 ACRES-PTD 654138,$434.77,Bids,503.99,504.99,,PTW
561c402077c8fa0c53e83914,079, R009540,Sub:GEORGETOWN Block:66 Lot:8 TOWN ORD #185 568  PLAT #39025-PTD 654138 1554 SILVER CLOUD CIR,"$1,585.92",Bids,1708.92,1709.92,,PTW
561c402077c8fa0c53e83915,080, R001696,MINE:WILD WAGONER-108 3.44 ACRES MOR 19-3-73- 550256 STMT OF AUTHOR 709829,$51.85,Bids,67.85,68.85,,PTW
561c402077c8fa0c53e83916,081, R003150,MINE:MONTANA-1560 4.98 ACRES MOR 19-3-73-542746 STMT OF AUTHOR 709829,$433.64,Bids,502.99,503.99,,PTW
561c402077c8fa0c53e83917,082, R003153,MINE:NEVADA-1563 4.63 ACRES MOR 19-3-73-542746 STMT OF AUTHOR 709829,$419.11,Bids,511.11,512.11,,PTW
561c402077c8fa0c53e83918,083, R001810,MINE:MONITOR-1264 2.47 ACRES MOR 20-3-73-550256 STMT OF AUTHOR 709829,$179.60,Bids,201,202,,PTW
561c402077c8fa0c53e83919,084, R003154,MINE:CALIFORNIA-1559 5 ACRES MOR 30-3-73-542746 STMT OF AUTHOR 709829,$411.49,Bids,511.49,512.49,,PTW
561c402077c8fa0c53e83921,098, R000911,Sub: WINTERLAND Lot:78 U4 309318,$225.91,Bids,281.91,282.91,,PTW
561c402077c8fa0c53e83922,099, R001860,MINE:LITTLE EMMA-12950 2.776 ACRES EMP 20-3-73 476761,$49.09,Bids,55.55,56.55,,PTW
561c402077c8fa0c53e83923,100, R005188,Sub:WINTERLAND Lot: 1 U1 489385,$158.11,Bids,194.11,195.11,,PTW
561c402077c8fa0c53e83924,101, R005783,Sub:SAINT MARYS Lot:599 U4 516105,$111.37,Bids,114.37,115.37,,PTW
561c402077c8fa0c53e83925,102, R008745,MINE:HURRICANE-18567 100 4.5 ACRES TC 1-4-74,$56.00,Bids,61,62,,PTW
561c402077c8fa0c53e83926,103, R012517,Sub:HOMESTEAD HIDEAWAY #13 Block:7 ALL LOT 1  4  W2 LOTS 2  5  B13 ALL LOT 1  W 175 LOT 2 318729,$196.18,Bids,300.18,301.18,,PTW
561c402077c8fa0c53e83927,104, R013357,Sub:CASTLEWOOD WEST Lot:9 F1 486536 619449,$86.53,Bids,88.88,89.88,,PTW
