propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
560914e5d4c68c50bf9e18e3,000227, 40-042-00-004,0 VACANT LAND ,$37.59,Bids,37.59,38.59,,PTW
560914e4d4c68c50bf9e13d2,000645, 40-014-21-012,675 JUNIPER ST,"$8,788.00",Bids,9448,9449,,PTW
560914e4d4c68c50bf9e13d3,001077, 40-012-00-019,1130 NOBLE ST,"$1,150.19",Bids,1243,1244,,PTW
560914e4d4c68c50bf9e13d4,001179, 40-012-15-010,1160 PIKE ST,$659.29,Bids,824.29,825.29,,PTW
560914e4d4c68c50bf9e13d5,001359, 40-021-08-014,17155 W 12TH AVE,$483.03,Bids,520,521,,PTW
560914e4d4c68c50bf9e13d7,001913, 30-284-32-007,912 ARAPAHOE ST,"$1,850.38",Bids,2006,2007,,PTW
560914e5d4c68c50bf9e17ab,001952, 59-012-00-004,6540 W HAMPDEN AVE,"$12,435.29",Bids,13306.77,13307.77,,PTW
560914e5d4c68c50bf9e17ac,002017, 41-071-00-002,0 VACANT LAND ,"$1,301.72",Bids,1393.85,1394.85,,PTW
560914e4d4c68c50bf9e13d9,002245, 30-272-03-008,223 HIGH PKWY,"$1,145.62",Bids,1252,1253,,PTW
560914e4d4c68c50bf9e13da,002308, 30-281-17-007,701 2ND ST,"$1,521.78",Bids,1637,1638,,PTW
560914e4d4c68c50bf9e13db,002323, 30-281-25-014,528 BOYD ST,"$1,913.03",Bids,2061,2062,,PTW
560914e4d4c68c50bf9e13dd,002710, 30-342-14-002,511 17TH ST,"$2,410.97",Bids,2593,2594,,PTW
560914e4d4c68c50bf9e13de,002719, 29-271-02-053,8748 FLOWER PL,"$1,076.39",Bids,1158,1159,,PTW
560914e4d4c68c50bf9e13df,003520, 30-342-44-003,2109 JACKSON ST,"$1,765.79",Bids,1901,1902,,PTW
560914e5d4c68c50bf9e17ad,003812, 39-144-99-001,0 VACANT LAND ,$576.24,Bids,617.58,618.58,,PTW
560914e4d4c68c50bf9e13e0,003888, 39-133-04-005,4995 HARLAN ST,"$1,547.37",Bids,1666,1667,,PTW
560914e4d4c68c50bf9e13e1,003982, 39-133-05-003,4949 MARSHALL ST,"$5,673.08",Bids,6071.2,6072.2,,PTW
560914e4d4c68c50bf9e13e4,004431, 61-202-01-006,10922 CONIFER MOUNTAIN RD,"$3,756.30",Bids,4039,4040,,PTW
560914e4d4c68c50bf9e13e5,004685, 39-154-08-001,4825 ESTES ST,$795.68,Bids,867.38,868.38,,PTW
560914e4d4c68c50bf9e13e6,004744, 39-032-01-054,6900 INDEPENDENCE ST,"$5,503.45",Bids,5917,5918,,PTW
560914e4d4c68c50bf9e13e7,004877, 61-201-03-004,10835 BEAS DR,"$5,653.04",Bids,6078,6079,,PTW
560914e5d4c68c50bf9e18e4,004962, 39-034-20-032,0 VACANT LAND ,$39.77,Bids,39.77,40.77,,PTW
560914e4d4c68c50bf9e13e8,005070, 39-101-03-004,8805 W 63RD AVE,"$1,783.77",Bids,1919,1920,,PTW
560914e4d4c68c50bf9e13e9,005079, 39-022-12-002,6874 BALSAM ST,$868.73,Bids,937.55,938.55,,PTW
560914e4d4c68c50bf9e13ea,005103, 39-023-01-003,6745 YARROW ST,"$2,680.25",Bids,2882,2883,,PTW
560914e4d4c68c50bf9e13eb,005132, 39-023-99-010,6408 BALSAM ST,$803.20,Bids,864,865,,PTW
560914e4d4c68c50bf9e13ed,005228, 39-031-13-033,9133 W 68TH AVE,"$1,732.36",Bids,1863,1864,,PTW
